year,globalaveragetemp,cityaveragetemp
1750,8.72,13.83
1751,7.98,14.14
1752,5.78,9.48
1753,8.39,13.42
1754,8.47,13.58
1755,8.36,13.36
1756,8.85,14.10
1757,9.02,13.90
1758,6.74,12.10
1759,7.99,13.13
1760,7.19,12.57
1761,8.77,13.76
1762,8.61,13.66
1763,7.50,12.72
1764,8.40,13.79
1765,8.25,13.72
1766,8.41,13.60
1767,8.22,13.32
1768,6.78,12.09
1769,7.69,13.29
1770,7.69,13.28
1771,7.85,13.20
1772,8.19,14.22
1773,8.22,13.74
1774,8.77,14.07
1775,9.18,14.35
1776,8.30,13.19
1777,8.26,13.18
1778,8.54,13.96
1779,8.98,14.04
1780,9.43,13.95
1781,8.10,13.70
1782,7.90,13.10
1783,7.68,13.31
1784,7.86,13.40
1785,7.36,12.57
1786,8.26,13.13
1787,8.03,13.61
1788,8.45,13.56
1789,8.33,13.74
1790,7.98,13.56
1791,8.23,14.09
1792,8.09,13.39
1793,8.23,13.27
1794,8.53,13.87
1795,8.35,13.66
1796,8.27,13.60
1797,8.51,14.25
1798,8.67,13.93
1799,8.51,13.29
1800,8.48,13.73
1801,8.59,14.37
1802,8.58,14.48
1803,8.50,13.36
1804,8.84,13.69
1805,8.56,13.12
1806,8.43,13.88
1807,8.28,13.99
1808,7.63,12.75
1809,7.08,12.40
1810,6.92,12.72
1811,6.86,12.95
1812,7.05,12.30
1813,7.74,12.62
1814,7.59,12.81
1815,7.24,12.54
1816,6.94,12.32
1817,6.98,12.74
1818,7.83,13.26
1819,7.37,13.14
1820,7.62,13.00
1821,8.09,12.97
1822,8.19,13.07
1823,7.72,13.44
1824,8.55,14.32
1825,8.39,13.08
1826,8.36,13.03
1827,8.81,14.09
1828,8.17,13.07
1829,7.94,12.65
1830,8.52,13.21
1831,7.64,12.84
1832,7.45,11.64
1833,8.01,13.05
1834,8.15,13.15
1835,7.39,12.56
1836,7.70,13.19
1837,7.38,12.46
1838,7.51,12.28
1839,7.63,12.77
1840,7.80,12.30
1841,7.69,13.70
1842,8.02,12.94
1843,8.17,13.22
1844,7.65,12.78
1845,7.85,13.48
1846,8.55,13.98
1847,8.09,13.57
1848,7.98,13.70
1849,7.98,13.09
1850,7.90,12.74
1851,8.18,13.77
1852,8.10,13.29
1853,8.04,14.34
1854,8.21,13.03
1855,8.11,13.36
1856,8.00,12.95
1857,7.76,12.24
1858,8.10,12.72
1859,8.25,13.50
1860,7.96,13.89
1861,7.85,12.57
1862,7.56,12.94
1863,8.11,13.47
1864,7.98,12.87
1865,8.18,13.05
1866,8.29,13.12
1867,8.44,12.81
1868,8.25,13.14
1869,8.43,13.57
1870,8.20,13.16
1871,8.12,13.16
1872,8.19,14.41
1873,8.35,14.03
1874,8.43,13.39
1875,7.86,12.37
1876,8.08,13.60
